religion,page,text
islam,Quran,"The Quran (Arabic: الْقُرْآن, lit. 'the recitation'  or 'the lecture'), also romanized Qur'an or Koran, is the central religious text of Islam, believed by Muslims to be a revelation directly from God (Allāh)."
islam,Quran,"It is organized in 114 chapters (sūrah, pl. suwar) which consist of individual verses (āyah)."
islam,Quran,"Besides its religious significance, it is widely regarded as the finest work in Arabic literature and has significantly influenced the Arabic language. Muslims believe the Quran was orally revealed by God to the final Islamic prophet Muhammad through the angel Gabriel incrementally over a period of some 23 years, beginning on the Laylat al-Qadr when Muhammad was 40 and concluding in 11 AH/632 CE, the year of his death."
islam,Quran,"Muslims regard the Quran as Muhammad's most important miracle, a proof of his prophethood, and the culmination of a series of divine messages starting with those revealed to the first Islamic prophet Adam, including the holy books of the Torah, Psalms, and Gospel in Islam. The Quran is believed by Muslims to be God's own divine speech providing a complete code of conduct across all facets of life."
islam,Quran,"This has led Muslim theologians to fiercely debate whether the Quran was ""created or uncreated"". According to tradition, several of Muhammad's companions served as scribes, recording the revelations."
islam,Quran,"Shortly after Muhammad's death, the Quran was compiled on the order of the first caliph Abu Bakr (r. 632–634) by the companions, who had written down or memorized parts of it."
islam,Quran,"644–656) established a standard version, now known as the Uthmanic codex, which is generally considered the archetype of the Quran known today. There are, however, canonical variant readings (qirāʾāt), transmitted through oral tradition, with minor variations in wording and nuance that may lead to subtle differences in meaning, while preserving the core message of the Quran."
islam,Quran,"It is the subject of a modern field of academic research known as Quranic studies. Some argue that manuscript evidence, textual variants (such as the Sanaa manuscript), and historical sources suggest a more gradual and complex process of compilation and canonization."
islam,Quran,The Quran describes itself as a guide for humanity (2:185). It alludes to significant narratives found in biblical and apocryphal texts.
islam,Quran,"While it devotes considerable space to some of these narratives, it does not quote any paragraph from these sources directly, but summarizes and uses different versions of some in different sections. Islamic theorists tend to explain this situation as the Quran's focus on the moral lessons to be drawn from events."
islam,Quran,"This allusive style and summarization entail many explanatory efforts (exegesis). To extrapolate the meaning of a particular Quranic verse, Muslims rely on tafsir, or commentary, often in conjunction with translations of the text."
islam,Quran,"Furthermore, hadiths, which are valued in most Islamic schools of thought for their role in establishing Islamic laws and regulations, are oral traditions that were later written down and are believed to reflect the words and actions of Muhammad, serving as additional guidance alongside the Quran for most Muslims. During prayers, the Quran is recited only in Arabic."
islam,Quran,"A person who has memorized the entire Quran is called a hafiz (female hafiza). Ideally, verses are recited with a special kind of prosody reserved for this purpose called tajwid."
islam,Quran,It is a tradition for some Muslims to recite the entire Quran during the tarawih prayers throughout the month of Ramadan.
islam,Muhammad,"570 CE – 8 June 632 CE) was an Arab religious, military, and political leader, and the founder of Islam. According to Islam, he was the final prophet of God who was divinely inspired to preach and confirm the monotheistic teachings of Adam, Noah, Abraham, Moses, Jesus, and other prophets in Islam."
islam,Muhammad,"He is believed by Muslims to be the Seal of the Prophets, and along with the Quran, his teachings and normative examples form the basis for Islamic religious belief. According to the traditional account, Muhammad was born in Mecca to the aristocratic Banu Hashim clan of the Quraysh."
islam,Muhammad,"He was the son of Abdullah ibn Abd al-Muttalib and Amina bint Wahb. His father, Abdullah, the son of tribal leader Abd al-Muttalib ibn Hashim, died around the time Muhammad was born."
islam,Muhammad,"His mother Amina died when he was six, leaving Muhammad an orphan. He was raised under the care of his grandfather, Abd al-Muttalib, and paternal uncle, Abu Talib."
islam,Muhammad,"In later years, he would periodically seclude himself in a mountain cave named Hira for several nights of prayer. 610, Muhammad reported being visited by Gabriel in the cave and receiving his first revelation from God."
islam,Muhammad,"In 613, Muhammad started preaching these revelations publicly, proclaiming that ""God is One"", that complete ""submission"" (Islām) to God (Allāh) is the right way of life (dīn), and that he was a prophet and messenger of God, similar to other prophets in Islam. Muhammad's followers were initially few in number, and experienced persecution by Meccan polytheists for 13 years."
islam,Muhammad,"To escape ongoing persecution, he sent some of his followers to Abyssinia in 615, before he and his followers migrated from Mecca to Medina (then known as Yathrib) later in 622. This event, the Hijrah, marks the beginning of the Islamic calendar, also known as the Hijri calendar."
islam,Muhammad,"In Medina, Muhammad united the tribes under the Constitution of Medina. In December 629, after eight years of intermittent fighting with Meccan tribes, Muhammad gathered an army of 10,000 Muslim converts and marched on the city of Mecca."
islam,Muhammad,"The conquest went largely uncontested, and Muhammad seized the city with minimal casualties. In 632, a few months after returning from the Farewell Pilgrimage, he fell ill and died."
islam,Muhammad,"By the time of his death, most of the Arabian Peninsula had converted to Islam. The revelations (waḥy) that Muhammad reported receiving until his death form the verses (āyah) of the Quran, upon which Islam is based, and are regarded by Muslims as the verbatim word of God and his final revelation."
islam,Muhammad,"Besides the Quran, Muhammad's teachings and practices, found in transmitted reports, known as hadith, and in his biography (sīrah), are also upheld and used as sources of Islamic law. Apart from Islam, Muhammad has received praise in Sikhism as an inspirational figure, in the Druze faith as one of the seven main prophets, and in the Baháʼí Faith as a Manifestation of God."
islam,Ramadan,"Ramadan is the ninth month of the Islamic calendar. It is observed by Muslims worldwide as a month of fasting (sawm), communal prayer (salah), reflection, study of the Quran, charity, and strengthening community ties."
islam,Ramadan,"It is also the month in which the Quran is believed to have been revealed to the Islamic prophet Muhammad, known as Laylat al-Qadr. The annual observance of Ramadan is regarded as one of the five pillars of Islam and lasts 29 to 30 days, from one sighting of the crescent moon to the next."
islam,Ramadan,"Fasting from dawn to sunset is obligatory (fard) for all Muslims who have reached puberty, and who are not acutely or chronically ill, traveling, elderly, breastfeeding, pregnant, or menstruating. The predawn meal is suhur, and the nightly feast that breaks the fast is iftar."
islam,Ramadan,"Although rulings (fatawa) have been issued that Muslims who live in regions with a midnight sun or polar night should follow the timetable of Mecca, it is common practice to follow the timetable of the closest country in which night can be distinguished from day. The spiritual rewards (thawab) of fasting are believed to be multiplied during Ramadan."
islam,Ramadan,"Accordingly, during the hours of fasting, Muslims refrain not only from food and drink, but also from all behavior deemed to be sinful in Islam."
islam,Hijab,"The Hijab (Arabic: حجاب, romanized: ḥijāb, pronounced [ħɪˈdʒaːb]), while commonly equated with the headscarf worn by Muslim women, is a term also associated with a broader range of bodily covering and behavioral patterns that extend to human emotions. When used in the sense of headscarf, this term describes a scarf wrapped around the head, covering the hair, neck and ears, but leaving the face exposed."
islam,Hijab,"Traditional Muslim women's clothing style, determined by numerous interactions including tradition, necessities of life, geography and climate, and Islamic advice literature etc, has been reshaped through the hijab, presented as Islamic clothing in response to Western cultural influence; grown globally since the 1970s, with religious Muslims viewing it as a symbol of modesty and faith or a form of adornment. Much like the tichel or snood of observant Jewish women, the hanging veil, apostolnik, or kapp, worn by certain Christian women, and the dupatta favored in North Indian Hindu and Sikh cultures, the Islamic hijab is not monolithic, but manifests itself in diverse forms shaped by local laws and customs."
islam,Hijab,"While in some regions, the hijab is mandated by laws, in others, its use is subjected to restrictions or bans. Because of these regulations and strict hijab practices, women may face repercussions for wearing in some countries and not wearing headscarf in others."
islam,Hijab,"This issue has the potential to be highly controversial not only in terms of women's social participation and status in Islamic life, but also from the perspective of human rights and international laws; because the participation of individuals wearing religiously symbolic clothings in judicial proceedings would call into question the principle of the conscientious independence and impartiality of judges, a fundamental principle in the judiciary. In early Islam, the hijab was used to denote a partition or to signify Islamic rules of modesty, while the same classical scholars also ruled that covering the hair is not mandatory for slave women."
islam,Hijab,"Hence, the word is not used in verses of the Quran related to women's clothing; the words used are ""himar"", which some translators and commentators present as a headscarf, and jilbab as an outer garment. While Islamic scholars who follow tradition argue that covering the head is a religious requirement in women's clothing, modernist thinkers do not consider it among Islamic obligations."
islam,Hijab,"Scholars who state that hijab is obligatory also differ as to whether hijab mandates covering everything except the face and hands, or to cover the whole body, including the face and hands, via niqab based in texts of some hadith and individual interpretations."
islam,Mosque,"A mosque ( MOSK), also called a masjid ( MASS-jid, MUSS-), is a place of worship for Muslims. The term usually refers to a covered building, but can be any place where Islamic prayers are performed; such as an outdoor courtyard."
islam,Mosque,"Originally, mosques were simple places of prayer for the early Muslims, and may have been open spaces rather than elaborate buildings. In the first stage of Islamic architecture (650–750 CE), early mosques comprised open and closed covered spaces enclosed by walls, often with minarets, from which the Islamic call to prayer was issued on a daily basis."
islam,Mosque,"It is typical of mosque buildings to have a special ornamental niche (a mihrab) set into the wall in the direction of the city of Mecca (the qibla), which Muslims must face during prayer, as well as a facility for ritual cleansing (wudu). The pulpit (minbar), from which public sermons (khutbah) are delivered on the event of Friday prayer, was, in earlier times, characteristic of the central city mosque, but has since become common in smaller mosques."
islam,Mosque,"To varying degrees, mosque buildings are designed so that there are segregated spaces for men and women. This basic pattern of organization has assumed different forms depending on the region, period, and Islamic denomination."
islam,Mosque,"In addition to being places of worship in Islam, mosques also serve as locations for funeral services and funeral prayers, marriages (nikah), vigils during Ramadan, business agreements, collection and distribution of alms, and homeless shelters. To this end, mosques have historically been multi-purpose buildings functioning as community centres, courts of law, and religious schools."
islam,Mosque,"In modern times, they have also preserved their role as places of religious instruction and debate. Special importance is accorded to, in descending order of importance: al-Masjid al-Haram in the city of Mecca, where Hajj and Umrah are performed; the Prophet's Mosque in the city of Medina, where Muhammad is buried; and al-Aqsa Mosque in the city of Jerusalem, where Muslims believe that Muhammad ascended to heaven to meet God around 621 CE."
islam,Mosque,"During and after the early Muslim conquests, mosques were established outside of Arabia in the hundreds; many synagogues, churches, and temples were converted into mosques and thus influenced Islamic architectural styles over the centuries. While most pre-modern mosques were funded by charitable endowments (waqf), the modern-day trend of government regulation of large mosques has been countered by the rise of privately funded mosques, many of which serve as bases for different streams of Islamic revivalism and social activism."
islam,Eid al-Fitr,"Eid al-Fitr is the first of the two main festivals in Islam, the other being Eid al-Adha. The holiday falls on the first day of Shawwal, the tenth month of the Islamic calendar."
islam,Eid al-Fitr,"One of the most important Islamic celebrations, Eid al-Fitr is celebrated by Muslims worldwide as it marks the end of the month-long, dawn-to-dusk fasting (sawm) during Ramadan. The holiday is known under various other names in different languages and countries around the world."
islam,Eid al-Fitr,"Eid al-Fitr begins with a communal prayer and is followed by visits to relatives, giving gifts, and sharing meals. It has a particular salah that consists of two rakats generally performed in an open field or large hall."
islam,Eid al-Fitr,"It may only be performed in congregation (jamāʿat) and features six additional Takbirs (raising of the hands to the ears whilst reciting the Takbir, saying ""Allāhu ʾAkbar"", meaning ""God is the greatest""). In the Hanafi school of Sunni Islam, there are three Takbirs at the start of the first rakat and three just before rukūʿ in the second rakat."
islam,Eid al-Fitr,"Other Sunni schools usually have 12 Takbirs, similarly split in groups of seven and five. In Shia Islam, the salat has six Takbirs in the first rakat at the end of Tilawa, before rukūʿ, and five in the second."
islam,Eid al-Fitr,"Depending on the juristic opinion of the locality, this salat is either farḍ (فرض, obligatory) or mustaḥabb (strongly recommended). After the salat, Muslims celebrate the Eid al-Fitr in various ways with food being a central theme, which also gives the holiday the nickname ""Sweet Eid"" or ""Sugar Feast""."
islam,Eid al-Fitr,"In many parts of the world, Eid al-Fitr is also characterized by distinctive local customs that reflect regional cultures. Communities often mark the occasion with large family visits, public celebrations, and the sharing of traditional foods and sweets prepared specifically for the holiday."
islam,Eid al-Fitr,"Markets and neighborhoods in several countries become especially lively as people buy new clothing, gifts, and festive meals, while charitable giving and community gatherings remain central elements of the celebration. Despite cultural differences, the festival commonly emphasizes social connection, generosity, and the strengthening of family and community ties."
islam,Halal,"Halal ( ; Arabic: حلال ḥalāl [ħaˈlaːl]) is an Arabic word that translates to 'permissible' in English. Although the term halal is often associated with Islamic dietary laws, particularly meat that is slaughtered according to Islamic guidelines, it also governs ethical practices in business, finance (such as the prohibition of usury (riba)), and daily living."
islam,Halal,"It encompasses broader ethical considerations, including fairness, social justice, and the treatment of animals. The concept of halal is central to Islamic practices and is derived from the Quran and the Sunnah (the teachings and practices of the Prophet Muhammad)."
islam,Halal,"In the Quran, the term halal is contrasted with the term haram ('forbidden, unlawful'). The guidelines for what is considered halal or haram are laid out in Islamic jurisprudence (fiqh), and scholars interpret these guidelines to ensure compliance with Islamic principles."
islam,Halal,"This binary opposition was elaborated into a more complex classification known as ""the five decisions"": mandatory, recommended, neutral, reprehensible and forbidden. Islamic jurists disagree on whether the term halal covers the first two or the first four of these categories."
islam,Halal,"In recent times, Islamic movements seeking to mobilize the masses and authors writing for a popular audience have emphasized the simpler distinction of halal and haram. In the modern world, the concept of halal has expanded beyond individual actions and dietary restrictions to become a global industry, particularly in the food, pharmaceutical, cosmetic, and financial sectors."
islam,Halal,"Halal certification bodies ensure that products and services meet the required standards for consumption by Muslims, and many companies worldwide seek halal certification to cater to the growing demand for halal products, especially with the rise in the global Muslim population. The increasing demand for halal products and services has led to the growth of the halal economy, especially in countries with significant Muslim populations, such as Malaysia, Indonesia, and the Middle East."
islam,Halal,Many non-Muslim-majority countries also engage in the halal market to meet the needs of their Muslim citizens and global consumers.
islam,Sharia,"Sharia (; Arabic: ‏شَرِيعَة‎, romanized: šarīʿa, lit. 'path [to water]', IPA: [ʃaˈriːʕa]), also transliterated as Sharī'ah, Shari'a, or Shariah, is a body of religious law that form the Islamic tradition based on scriptures of Islam, particularly the Qur'an and hadith."
islam,Sharia,"In Islamic terminology sharīʿah refers to immutable, intangible divine law, in contrast to fiqh (Islamic jurisprudence), which refers to its interpretations by Islamic scholars. Sharia, or fiqh as traditionally known, has always been used alongside customary law from the very beginning in Islamic history; it has been elaborated and developed over the centuries by legal opinions issued by qualified jurists – reflecting the tendencies of different schools – and integrated with various economic, penal and administrative laws issued by Muslim rulers; and implemented for centuries by judges in the courts until recent times, when secularism was widely adopted in Islamic societies."
islam,Sharia,"Traditional theory of Islamic jurisprudence recognizes four sources for al-sharia: the Qur'an, sunnah (or authentic ahadith), ijma (lit. consensus) (may be understood as ijma al-ummah (Arabic: إجماع الأمة) – a whole Islamic community consensus, or ijma al-aimmah (Arabic: إجماع الائـمـة) – a consensus by religious authorities), and analogical reasoning."
islam,Sharia,"It distinguishes two principal branches of law, rituals (Ibadah) and social dealings (Muamalat); subsections family law, relationships (commercial, political / administrative) and criminal law, in a wide range of topics assigning actions – capable of settling into different categories according to different understandings – to categories (ahkam) mainly as: mandatory, recommended, neutral, abhorred, and prohibited. Beyond legal norms, Sharia also enters many areas that are considered private practices today, such as belief, worshipping, ethics, clothing and lifestyle, and gives to those in command duties to intervene and regulate them."
islam,Sharia,"Over time with the necessities brought by sociological changes, on the basis of interpretative studies legal schools have emerged, reflecting the preferences of particular societies and governments, as well as Islamic scholars or imams on theoretical and practical applications of laws and regulations. Legal schools of Sunni Islam – Hanafi, Maliki, Shafiʽi, Hanbali, etc."
islam,Sharia,"– developed methodologies for deriving rulings from scriptural sources using a process known as ijtihad, a concept adopted by Shiism in much later periods meaning mental effort. Although Sharia is presented in addition to its other aspects by the contemporary Islamist understanding, as a form of governance some researchers approach traditional sīrah narratives with skepticism, seeing the early history of Islam not as a period when Sharia was dominant, but a kind of ""secular Arabic expansion"" and dating the formation of Islamic identity to a much later period."
islam,Sharia,"Approaches to Sharia in the 21st century vary widely, and the role and mutability of Sharia in a changing world has become an increasingly debated topic in Islam. Beyond sectarian differences, fundamentalists advocate the complete and uncompromising implementation of ""exact/pure sharia"" without modifications, while modernists argue that it can/should be brought into line with human rights and other contemporary issues such as democracy, minority rights, freedom of thought, women's rights and banking by new jurisprudences."
islam,Sharia,"Several practices of Sharia have been deemed incompatible with human rights, gender equality and freedom of speech and expression. In Muslim majority countries, traditional laws have been widely used with or changed by European models."
islam,Sharia,"Judicial procedures and legal education have been brought in line with European practice likewise. While the constitutions of most Muslim-majority states contain references to Sharia, its rules are largely retained only in family law and penalties in some."
islam,Sharia,"The Islamic revival of the late 20th century brought calls by Islamic movements for full implementation of Sharia, including hudud corporal punishments, such as stoning."
islam,Allah,"Allah ( A(H)L-ə, ə-LAH; Arabic: الله, IPA: [ɑɫˈɫɑː] ) is the Arabic language term for God, mainly the monotheistic God of Abraham. Outside of Arabic languages, it is principally associated with Islam (in which it is also considered the proper name), although the term was used in pre-Islamic Arabia and continues to be used today by Arabic-speaking adherents of any of the Abrahamic religions, including Judaism and Christianity."
islam,Allah,"It is thought to be derived by contraction from al-ilāh (الاله, lit. 'the god') and is linguistically related to other Semitic God names, such as Aramaic (ܐܲܠܵܗܵܐ ʼAlāhā) and Hebrew (אֱלוֹהַּ ʾĔlōah)."
islam,Allah,"The word ""Allah"" now conveys the superiority or sole existence of one God, but among the pre-Islamic Arabs, Allah was the supreme deity and worshipped alongside lesser deities in a pantheon. Many Jews, Christians, and early Muslims used ""Allah"" and ""al-ilah"" synonymously in Classical Arabic."
islam,Allah,"The word is also frequently, albeit not exclusively, used by Bábists, Baháʼís, Mandaeans, Indonesian Christians, Maltese Christians, and Sephardic Jews, as well as by the Gagauz people."
islam,Niqab,"A niqāb, niqab, or niqaab (; Arabic: نقاب), also known as a ruband (Persian: روبند), rubandah (روبنده) or (colloquial) qab, is a long garment worn by some Muslim women, in order to cover their entire body and face, excluding their eyes. It is an interpretation in Islam of the concept of hijab, and is worn in public and in all other places where a woman may encounter non-mahram men."
islam,Niqab,"Most prevalent in the Arabian Peninsula, the niqab is a controversial clothing item in many parts of the world, including in some Muslim-majority countries. While face veiling practices have ancient roots across various cultures in the Mediterranean, Middle East, and Central Asia, the modern form of niqab became more widespread particularly since the late 1970s Islamic revival, especially among Sunni Muslims throughout the Middle East and North Africa."
islam,Niqab,"This phenomenon was encouraged by the rise of ""Petro-Islam"" under the House of Saud; the propagation of hardline Sunni Islamic doctrines from the oil-producing Arab countries, beginning in earnest after the 1973 Arab–Israeli War, would quickly come to mold the Saudis' ideological response to the religious zeal that the Iranian Revolution had stirred among Shia Muslims. Sponsorship by Saudi Arabia of mosques throughout many Muslim-majority countries led to the increased adoption of Wahhabism and Salafism globally, resulting in the rise of the niqab as one of the more noticeable consequences of the Saudi strain of Islamic revivalism, which flourished greatly throughout the late 20th century."
islam,Niqab,"It also consolidated the newfound religious and cultural dominance of Sunni-majority Saudi Arabia over the Arab countries as a whole, effectively serving as a social countermeasure to the religious and cultural influence of Shia-majority Iran. Since the 2000s, and particularly after the September 11 attacks in the United States, the niqab has increasingly become the subject of negative attention in the Western world, as it is commonly perceived by detractors as a visible sign of growing Islamic extremism and a rejection of Western values."
islam,Niqab,"For instance, in Algeria, where the presence of the niqab increased considerably in the 1990s, the Algerian public consciousness began associating the garment with the Islamists who were fighting in the Algerian Civil War; it was also protested by some Algerians as a byproduct of Saudi-backed Islamic fundamentalism—one that lacked authenticity in Algerian culture. To varying degrees, wearing the niqab or the burqa has been banned by legislation in several countries, including a number of Muslim-majority countries."
islam,Niqab,"Most Muslim scholars do not consider the niqab as compulsory for practicing Muslim women. Though similar, the niqab is distinct from the burqa by way of the eyes: a niqab does not cover the eyes, varies in the thickness of the material used, and has visible sleeves; but a burqa is elaborately designed with thicker material that covers the woman's entire body figure and face, lacking sleeves (i.e., keeping the entire body under the uniform cloth) and having a mesh screen to obfuscate the eyes."
islam,Niqab,"While the niqab is more widespread, the burqa is largely limited to Central Asia and South Asia, and is most prominent in Afghanistan."
islam,Burqa,"A burqa, also known as harabah, is a type of enveloping outer garment worn by some Muslim women which fully covers the body and the face. The use of face veils has been documented in various ancient cultures, including the Byzantine Empire, Persia, and Arabia."
islam,Burqa,"Historical sources mention women’s practices of face veiling. Additionally, Biblical references in Genesis highlight the use of veils."
islam,Burqa,"Oriental Orthodox Christian women traditionally wore dark garments with veils, white for the unmarried and black for the married. Face veiling has not been regarded as a religious requirement by most Islamic scholars, either historically or currently."
islam,Burqa,"Quranic verses such as 24:31 and 33:59 are interpreted as encouraging modesty and security for women, and most scholars agree that full-face covering is not required. Women who wear the burqa view it as a symbol of modesty, piety, and cultural identity, while others choose it as an expression of personal or religious commitment."
islam,Burqa,"A minority of scholars in the Islamic jurisprudence (fiqh) consider it to be obligatory for Muslim women when they are in the presence of non-related (i.e., non-mahram) males. This is in order to prevent men from looking (perversely) at women."
islam,Burqa,"This aligns with the principles of Islamic jurisprudence, which requires men to observe modesty by lowering their gaze in the presence of women. Women may wear the burqa for a number of reasons, including compulsion, as was the case during the Taliban's first rule of Afghanistan."
islam,Burqa,"However, several countries have enacted full or partial bans on its use in public spaces. These include Austria, France, Belgium, Denmark, Bulgaria, the Netherlands (in public schools, hospitals and on public transport), Germany (partial bans in some states), Italy, Kazakhstan, Portugal, Spain (in some localities of Catalonia), Russia (in the Stavropol Krai), Luxembourg, Switzerland, Norway (in nurseries, public schools and universities), Canada (in the public workplace in Quebec), Gabon, Chad, Senegal, the Republic of the Congo, Cameroon (in some localities), Niger (in some localities), Sri Lanka, Tajikistan, Azerbaijan (in public schools), Turkey (in the judiciary, military and police), Kosovo (in public schools), Bosnia and Herzegovina (in courts and other legal institutions), Morocco (ban on manufacturing, marketing and sale), Tunisia (in public institutions), Egypt (in universities), Algeria (in the public workplace), and China (in Xinjiang)."
islam,Imam,"Imam (; Arabic: إمام, imām; pl.: أئمة, a'immah) is an Islamic leadership position. For Sunni Muslims, imam is most commonly used as the title of a prayer leader of a mosque."
islam,Imam,"In this context, imams may lead Islamic prayers, serve as community leaders, and provide religious guidance. Thus for Sunnis, anyone can study the basic Islamic teachings and become an imam."
islam,Imam,"For most Shia Muslims, the imams are absolute infallible leaders of the Islamic community after the Prophet. Shias consider the term to be only applicable to the members and descendants of the Ahl al-Bayt, the family of the Islamic prophet Muhammad."
islam,Imam,"In Twelver Shi'ism there are 14 infallibles, 12 of which are imams, the final being Imam Mahdi who will return at the end of times. The title was also used by the Zaidi Shia imams of Yemen, who eventually founded the Mutawakkilite Kingdom of Yemen (1918–1970)."
islam,Hajj,"Hajj (Arabic: حَجّ, romanized: Ḥajj [ħaddʒ]; also spelled Hadj or Haj) is an annual Islamic pilgrimage to Mecca, Saudi Arabia, the holiest city in Islam. Hajj is a one-time-required religious duty for all Muslims who are physically and financially capable of undertaking the journey and supporting their family during their absence from home."
islam,Hajj,"In Islamic terminology, Hajj is a pilgrimage made to the Kaaba—the ""House of Allah""—in the sacred city of Mecca. It is one of the Five Pillars of Islam, alongside the Shahadah (oath that one believes there is no god but Allah and Muhammad is the Messenger of Allah), salah (prayer), zakah (almsgiving), and sawm (fasting during Ramadan)."
islam,Hajj,"The Hajj is an annual practice when Muslim brotherhood is on display and their solidarity with fellow Muslims and submission to God (Allah) is fulfilled. The Hajj is taken by Muslims to cleanse their souls of all worldly sins, which connotes both the outward act of a journey after death and the inward act of good intentions."
islam,Hajj,"The rites of pilgrimage are performed over five to six days, extending from the 8th to the 12th or 13th of Dhu'l-Hijja, the last month of the Islamic calendar. Because the Islamic calendar is lunar and the Islamic year is about eleven or twelve days shorter than the Gregorian year, the Gregorian date of Hajj changes from year to year."
islam,Hajj,"In 2024 AD (1445 AH), Dhu'l-Hijja extended from 7 June to 6 July and in 2025 AD (1446 AH), Dhu'l-Hijja was from 28 May to 25 June. In 2026 AD (1447 AH), Dhu'l-Hijja extended from 18 May to 15 June; and in 2027 AD (1448 AH), Dhu'l-Hijja will extend from 08 May to 05 June."
islam,Hajj,"The Hajj is associated with the life of the Islamic prophet Muhammad from the 7th century AD, but the ritual of pilgrimage to Mecca stated in Muslim sources stretches back to the time of Abraham. During Hajj, pilgrims join processions of millions of Muslims, who simultaneously converge on Mecca for the week of the Hajj, and perform a series of pre-Islamic rituals (reformed by Muhammad): each person wears a single piece of unstitched white clothing (Ihram), walks counter-clockwise seven times around the Kaaba (Stone-made clothed building which is the direction of prayer for Muslims), kisses the Black Stone mounted on the corner wall of the Kaaba, walks briskly back and forth between the hills of Safa and Marwah seven times, then drinks from the Zamzam Well, goes to the plains of Mount Arafat to stand in vigil, spends a night in the plain of Muzdalifah, and performs symbolic Stoning of the Devil by throwing stones at three pillars."
